entidad,2012,2013,2014,2015,2016,2017
Aguascalientes,18.9,18.8,19.8,17.8,17.3,18.2
Baja California,20,19.8,20,18.9,18.8,18.9
Baja California Sur,18.7,17.9,18.1,16.7,16.5,16.2
Campeche,19.9,20.1,20.2,19.4,18.6,18
Coahuila de Zaragoza,23.1,23.1,22.6,22,21.7,20.8
Colima,19.2,19.1,19,17.2,16.5,16.6
Chiapas,19.9,20.1,20.1,18.4,18.7,18.3
Chihuahua,23,22.3,22.5,21.4,20.9,21.4
Ciudad de México,16.6,16.4,15.8,14.4,13.9,13.5
Durango,21.9,21.6,21.1,21,20.4,20.2
Guanajuato,18.4,18.9,18.7,17.7,17.5,17.8
Guerrero,21,21.3,21.6,20.4,19.8,19.6
Hidalgo,19.8,20,19.1,18.6,17.4,18.1
Jalisco,17.6,18,17.7,16.7,16.8,17.2
México,19.9,19.4,19.1,18.2,18,17.9
Michoacán de Ocampo,19.3,19.4,19.1,18.6,18.6,18.5
Morelos,19.1,19.9,19.5,18.6,18.4,17.8
Nayarit,21.6,21.9,20.4,19.1,18.7,18.9
Nuevo León,17.6,17.6,17.2,16.1,15.5,15.6
Oaxaca,19.1,18.9,19.2,17.5,17,16.8
Puebla,19.1,19.1,19.2,19.1,18.5,18.8
Querétaro,17,17.3,16.8,15.5,15.4,15.1
Quintana Roo,17.6,17.7,18,16.8,15.8,14.7
San Luis Potosí,19.7,19.6,18.6,18.3,17.3,17.7
Sinaloa,20.4,19.9,20.2,18.6,17.6,17.9
Sonora,20.5,20.6,20.3,19.3,18.8,18.8
Tabasco,18.1,19.6,20.3,19.5,18.6,18.8
Tamaulipas,19.5,19.1,18.5,17.9,17.6,17.6
Tlaxcala,19.5,19.7,19.9,19.6,19.2,19.7
Veracruz de Ignacio de la Llave,20.2,20.2,19.9,18.7,18.6,18.8
Yucatán,17.7,18.3,18.2,17.2,17,17.2
Zacatecas,19,18.8,18.5,18.3,17.8,18.3
